FRET Efficiency,Stoichiometry,Proximity Ratio,Stoichiometry (raw),Lifetime D [ns],Lifetime A [ns],Anisotropy D,Anisotropy A,|TDX-TAA| Filter,ALEX 2CDE Filter,|TDD-TDA| Filter,FRET 2CDE Filter,Duration [ms],Mean Macrotime [s],Number of Photons,Count rate [kHz],Count rate (DD) [kHz],Count rate (DA) [kHz],Count rate (AA) [kHz],Count rate (DD par) [kHz],Count rate (DD perp) [kHz],Count rate (DA par) [kHz],Count rate (DA perp) [kHz],Count rate (AA par) [kHz],Count rate (AA perp) [kHz],Number of Photons (DD),Number of Photons (DA),Number of Photons (AA),Number of Photons (DD par),Number of Photons (DD perp),Number of Photons (DA par),Number of Photons (DA perp),Number of Photons (AA par),Number of Photons (AA perp),log(FD/FA),M1-M2,Number of Photons (DX),Count rate (DX) [kHz],Distance (from intensity) [A],FRET efficiency (from lifetime),Distance (from lifetime) [A],FRET efficiency (sens. Acc. Em.)
0.70083,0.66001,0.63376,0.69163,0,0,-0.24037,0.1455,0.068115,4.8408,0.059524,12.623,3.6652,0.14321,454,123.87,31.835,56.807,43.612,12.168,21.315,37.11,23.544,31.044,16.258,115,199,140,38,77,130,69,98,42,-0.85124,0.29917,314,85.67,60.741,1,0,0.82057
0.67273,0.59398,0.60444,0.6338,0,0,-0.38779,0.15911,0.12267,5.4631,0.13559,15.684,3.7608,0.49788,355,94.395,28.573,36.163,36.61,7.5284,23.757,25.312,13.155,27.887,11.188,89,136,130,15,74,93,43,92,38,-0.72056,0.32727,225,59.828,62.079,1,0,0.59358
0.76951,0.67318,0.70642,0.69872,0,0,-0.37269,0.11211,0.085363,8.7937,0.033685,13.854,1.4549,1.7532,156,107.22,21.995,54.726,47.312,4.2712,17.878,39.09,17.157,32.744,20.028,32,77,47,6,26,55,22,32,15,-1.2055,0.23049,109,74.92,57.258,1,0,0.95601
0.85573,0.59951,0.8078,0.62272,0,0,-0.17426,0.1161,0.0074153,4.0963,0.45233,10.326,8.4294,4.8671,1153,136.78,17.485,70.464,51.605,7.1699,11.055,43.25,29.277,35.234,17.042,138,580,435,54,84,356,224,297,138,-1.7803,0.14427,718,85.178,52.028,1,0,0.77261
0.11019,0.63798,0.12403,0.71271,0,0,-0.074383,0.1298,0.070508,7.5634,0.034628,13.569,3.2571,7.2067,181,55.571,36.099,6.745,18.782,18.7,19.841,4.8865,3.5311,13.767,5.7792,113,16,52,54,59,8,8,36,16,2.0888,0.88981,129,39.606,99.15,1,0,0.11712
0.73282,0.58141,0.65672,0.62037,0,0,0.0044532,-0.00042621,0.083054,8.438,0.10209,7.1708,2.2363,7.6912,108,48.295,10.443,21.047,20.078,7.3058,5.3356,12.915,12.335,12.243,8.4217,23,44,41,12,11,27,17,25,16,-1.009,0.26718,67,29.961,59.165,1,0,0.61392
0.61306,0.63889,0.54501,0.67889,0,0,-0.24694,0.021508,0.32708,8.6498,0.62645,24.737,7.1336,7.6988,900,126.16,38.97,50.951,49.037,13.894,26.354,33.815,18.973,31.627,20.168,278,333,289,90,188,209,124,180,109,-0.46019,0.38694,611,85.651,64.832,1,0,0.65421
0.17258,0.58217,0.17264,0.66022,0,0,-0.21596,0.094746,0.2106,8.0951,0.24677,11.085,6.5211,10.585,465,71.307,39.705,9.0263,25.887,15.154,25.636,6.345,2.9699,17.367,9.2443,254,53,158,90,164,37,16,106,52,1.5674,0.82742,307,47.078,90.898,1,0,0.14503
0.10634,0.63438,0.12022,0.7093,0,0,-0.098419,0.20657,0.15163,7.329,0.032362,9.4018,3.3329,10.935,258,77.41,49.32,7.8198,23.554,28.775,26.651,5.6871,4.1037,17.457,7.8832,161,22,75,74,87,16,6,55,20,2.1286,0.89366,183,54.907,99.81,1,0,0.11129
0.16518,0.5472,0.17,0.62893,0,0,-0.14983,0.19834,0.056314,6.8647,0.004699,6.8497,3.4795,11.393,318,91.392,52.429,10.093,35.604,23.879,30.636,8.5845,3.6088,26.082,11.876,166,34,118,69,97,24,10,86,32,1.6202,0.83482,200,57.479,91.7,1,0,0.1204
0.1161,0.66818,0.12271,0.73684,0,0,-0.17408,0.12346,0.045902,4.5219,0.087731,11.521,4.2601,11.4,741,173.94,115.79,17.222,49.452,56.237,70.102,11.621,6.919,35.304,16.784,479,67,195,189,290,44,23,134,61,2.0299,0.8839,546,128.17,98.182,1,0,0.14101
0.19273,0.66141,0.18125,0.72727,0,0,-0.13605,0.31115,0.037078,8.0635,0.1301,9.655,3.0859,11.405,220,71.293,43.065,9.8346,19.877,20.182,24.656,6.7825,4.1457,15.749,4.5395,131,29,60,56,75,20,9,47,13,1.4324,0.80727,160,51.849,88.874,1,0,0.22708
0.27233,0.45656,0.26061,0.53746,0,0,-0.1561,0.10477,0.5624,5.2113,0.074787,11.702,5.9338,13.865,614,103.47,41.525,15.91,47.861,17.019,26.136,11.658,4.8114,32.357,15.963,244,86,284,100,144,60,26,192,92,0.98281,0.72767,330,55.613,82.459,1,0,0.138
0.070586,0.74915,0.085911,0.80609,0,0,-0.2171,0.19717,0.0044435,7.0277,0.16023,8.9309,3.4707,14.115,361,104.01,76.642,9.0755,21.116,32.443,49.558,6.5343,5.1807,16.007,6.5554,266,25,70,94,172,18,7,51,19,2.5777,0.92941,291,83.845,107.57,1,0,0.12714
0.6224,0.62177,0.55224,0.66337,0,0,-0.21446,0.21068,0.062504,7.1241,0.0021273,11.303,3.5579,18.331,303,85.163,27.349,32.343,31.783,9.7242,20.436,21.357,11.961,23.37,12.261,90,111,102,32,58,71,40,75,27,-0.49975,0.3776,201,56.494,64.406,1,0,0.61711
0.72241,0.57149,0.65278,0.61017,0,0,-0.27209,0.091147,0.083645,8.048,0.22642,9.2428,6.6949,19.744,472,70.502,15.631,28.081,31.599,7.2273,10.942,17.744,11.949,22.473,10.476,100,188,184,30,70,108,80,123,61,-0.95644,0.27759,288,43.018,59.685,1,0,0.5811
